Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice,BedroomAbvGr,FullBath,HalfBath,Fireplaces,GarageCars,GarageArea,PoolArea
339,RL,14145,7,7,1984,Gd,1208,1621,202500,2,2,0,0,2,258,0
340,RL,12400,6,7,1958,TA,1215,1215,155000,4,1,0,1,3,346,1
341,RL,14191,8,5,2002,Gd,967,1908,202900,3,2,0,1,1,384,0
342,RH,8400,4,4,1950,Fa,721,841,82000,3,3,1,0,3,265,0
343,RL,8544,3,4,1949,TA,0,1040,87500,1,2,1,0,2,338,0
344,RL,8849,9,5,2005,Ex,1684,1684,266000,3,3,0,1,2,175,0
345,RM,2592,5,3,1976,TA,536,1112,85000,5,3,1,0,1,299,0
346,RL,6435,6,5,1939,TA,972,1577,140200,3,2,0,0,2,108,0
347,RL,12772,6,8,1960,TA,958,958,151500,3,1,0,1,2,122,0
348,RL,17600,6,5,1960,TA,1478,1478,157500,5,3,1,0,3,190,0
349,RL,2448,7,5,2003,Gd,764,1626,154000,2,3,1,1,1,441,0
350,RL,20431,9,5,2005,Ex,1848,2728,437154,4,3,1,1,3,302,0
351,RL,7820,9,5,2007,Ex,1869,1869,318061,1,3,0,0,3,256,1
352,RL,5271,7,5,1986,TA,1453,1453,190000,1,1,0,0,2,381,1
353,RL,9084,5,6,1941,TA,616,1111,95000,5,3,0,0,2,347,0
354,RM,8520,6,8,1928,TA,624,720,105900,1,1,0,1,2,316,0
355,RL,8400,6,5,1940,TA,940,1595,140000,2,2,1,0,3,493,1
356,RL,11249,6,5,1995,Gd,1200,1200,177500,4,2,0,0,2,176,1
357,RL,9248,6,6,1992,TA,1158,1167,173000,4,3,0,0,3,187,0
358,RM,4224,5,5,1976,TA,1142,1142,134000,1,3,0,1,2,409,1
359,RL,6930,5,4,1958,TA,1062,1352,130000,2,1,1,1,2,435,1
360,RL,12011,8,5,1998,Gd,1086,1924,280000,5,2,1,0,1,480,0
361,RL,7540,6,6,1978,TA,888,912,156000,1,1,0,0,3,454,1
362,RL,9144,5,5,1940,TA,883,1505,145000,1,3,1,0,1,324,0
363,RL,7301,7,5,2003,Gd,0,1922,198500,2,1,0,0,3,429,0
364,RM,1680,6,8,1972,TA,483,987,118000,4,1,1,1,1,366,1
365,RL,18800,6,5,1976,TA,796,1574,190000,2,3,0,0,3,136,0
366,RM,10690,5,7,1920,TA,672,1344,147000,4,3,0,0,1,466,1
367,RL,9500,6,5,1963,TA,1394,1394,159000,3,3,1,1,1,499,1
368,RL,9150,6,5,1962,TA,1099,1431,165000,4,3,0,1,2,425,1
369,RL,7800,5,6,1954,TA,1268,1268,132000,4,3,0,1,1,175,0
370,RL,9830,5,7,1959,TA,1063,1287,162000,3,1,1,1,3,327,1
371,RL,8121,6,5,2000,TA,953,1664,172400,2,1,1,1,3,244,0
372,RL,17120,4,4,1959,TA,0,1588,134432,5,2,1,1,2,210,0
373,RL,7175,6,5,1984,TA,744,752,125000,2,3,0,0,2,144,1
374,RL,10634,5,6,1953,TA,608,1319,123000,1,1,0,1,3,279,0
375,RL,8200,7,5,2003,Gd,847,1928,219500,5,3,0,1,2,174,0
376,RL,10020,1,1,1922,Fa,683,904,61000,2,2,0,0,1,161,1
377,RL,8846,5,5,1996,Gd,870,914,148000,2,1,1,1,2,196,1
378,FV,11143,8,5,2004,Gd,1580,2466,340000,4,1,1,1,1,237,0
379,RL,11394,9,2,2010,Gd,1856,1856,394432,2,1,0,1,1,245,0
380,RL,8123,6,5,2000,TA,982,1800,179000,2,2,0,1,2,301,0
381,RL,5000,5,6,1924,TA,1026,1691,127000,5,3,1,1,3,387,1
382,FV,7200,7,5,2006,Gd,1293,1301,187750,5,1,0,1,3,195,0
383,RL,9245,7,5,2006,Gd,939,1797,213500,5,3,0,1,1,328,1
384,RH,9000,6,3,1928,TA,784,784,76000,4,3,0,1,3,142,0
385,RL,53107,6,5,1992,Gd,1580,1953,240000,5,2,1,1,3,192,0
386,RL,3182,8,5,2004,Gd,1256,1269,192000,4,2,0,0,1,110,0
387,RL,8410,5,3,1910,TA,658,1184,81000,3,3,0,1,2,243,1
388,RL,7200,6,6,1976,TA,1041,1125,125000,3,1,0,0,3,241,0
389,RL,9382,7,5,1999,Gd,1468,1479,191000,3,1,1,1,2,380,1
390,RL,12474,10,5,2007,Ex,1682,2332,426000,1,1,0,1,3,191,1
391,RL,8405,5,8,1900,TA,861,1367,119000,1,2,1,1,2,196,0
392,RL,12209,6,5,2001,TA,804,1961,215000,2,1,1,0,2,170,1
393,RL,8339,5,7,1959,TA,0,882,106500,1,1,1,1,1,416,0
394,RL,7446,4,5,1941,TA,788,788,100000,5,2,0,1,2,144,1
395,RL,10134,5,6,1940,TA,735,1034,109000,1,2,1,1,3,227,1
396,RL,9571,5,6,1956,TA,1144,1144,129000,5,2,0,0,3,377,0
397,RL,7200,5,5,1972,TA,894,894,123000,1,1,0,1,3,395,0
398,RL,7590,5,5,1962,TA,864,1812,169500,1,3,1,1,1,272,1
399,RM,8967,5,2,1920,TA,961,1077,67000,3,2,0,0,2,181,1
400,FV,8125,7,5,2006,Gd,1092,1550,241000,3,2,0,1,2,265,0
401,RL,14963,8,5,1996,Gd,1260,1288,245500,3,2,1,0,1,336,0
402,RL,8767,7,5,2005,Gd,1310,1310,164990,4,3,1,1,1,179,1
403,RL,10200,5,8,1940,TA,672,672,108000,5,2,1,0,2,188,1
404,RL,12090,8,5,1998,Gd,1141,2263,258000,1,3,1,1,3,145,0
405,RL,10364,6,5,1995,TA,806,1572,168000,3,3,1,0,3,358,1
406,RL,9991,4,4,1976,TA,1281,1620,150000,3,3,0,0,2,148,0
407,RL,10480,6,5,1936,TA,1064,1639,115000,2,1,1,0,2,214,1
408,RL,15576,6,7,1915,TA,840,1680,177000,5,3,0,0,2,264,0
409,RL,14154,7,5,2006,Gd,1063,2172,280000,3,2,1,1,1,142,1
410,FV,10800,8,5,2007,Gd,1034,2078,339750,2,2,0,0,1,373,1
411,RL,9571,5,3,1958,TA,1276,1276,60000,2,2,0,0,1,345,1
412,RL,34650,5,5,1955,TA,1056,1056,145000,4,3,0,0,2,211,0
413,FV,4403,7,5,2009,Ex,1470,1478,222000,2,2,0,0,3,485,1
414,RM,8960,5,6,1927,TA,1008,1028,115000,2,1,1,0,3,125,0
415,RL,11228,7,5,1993,Gd,1080,2097,228000,1,3,1,0,1,120,1
416,RL,8899,7,5,2007,Gd,1340,1340,181134,3,3,1,0,2,243,0
417,RL,7844,6,7,1978,TA,672,1400,149500,3,1,1,0,1,343,0
418,RL,22420,6,6,1918,TA,1370,2624,239000,4,3,1,0,3,155,1
419,RL,8160,5,6,1940,TA,756,1134,126000,3,2,0,1,1,498,1
420,RL,8450,5,6,1968,TA,1056,1056,142000,3,3,0,0,2,190,0
421,RM,7060,7,5,1997,TA,1344,1344,206300,5,3,1,0,1,446,0
422,RL,16635,6,7,1977,Gd,1602,1602,215000,5,1,1,0,2,316,1
423,RL,21750,5,5,1954,TA,988,988,113000,5,2,1,0,2,360,1
424,RL,9200,8,5,1998,Gd,1470,2630,315000,5,3,0,1,1,178,1
425,RL,9000,6,5,1956,TA,1196,1196,139000,4,3,1,0,3,160,1
426,RM,3378,7,8,1946,TA,651,1389,135000,2,1,1,0,2,445,1
427,RL,12800,7,5,1989,Gd,1518,1644,275000,2,3,0,1,3,431,0
428,RL,8593,4,6,1957,TA,907,907,109008,2,3,1,1,3,390,0
429,RL,6762,7,5,2007,Gd,1208,1208,195400,5,2,1,1,2,303,1
430,RL,11457,6,5,1988,TA,1392,1412,175000,5,2,1,1,2,141,0
431,RM,1680,6,5,1971,TA,483,987,85400,5,3,0,0,3,223,1
432,RM,5586,6,7,1920,TA,901,1198,79900,3,2,1,0,3,371,1
433,RM,1920,5,5,1971,TA,765,1365,122500,5,2,0,0,3,385,1
434,RL,10839,6,5,1997,TA,926,1604,181000,5,2,0,1,2,482,0
435,RM,1890,4,7,1972,TA,630,630,81000,3,1,0,1,2,301,1
436,RL,10667,7,6,1996,Gd,799,1661,212000,3,3,1,1,1,243,1
437,RM,4400,6,8,1920,TA,648,1118,116000,1,2,0,0,1,189,1
438,RM,6000,6,7,1926,Gd,884,904,119000,5,1,0,0,1,232,1
439,RL,4280,5,6,1913,TA,440,694,90350,2,1,0,1,2,429,0
440,RL,12354,6,8,1920,TA,684,1196,110000,5,2,1,0,1,316,0
441,RL,15431,10,5,2008,Ex,3094,2402,555000,3,2,0,1,1,349,1
442,RL,12108,4,4,1955,TA,1440,1440,118000,4,2,0,0,3,161,1
443,RM,6240,5,7,1930,TA,1078,1573,162900,4,1,0,1,1,293,0
444,RL,3922,7,5,2006,Gd,1258,1258,172500,2,2,1,0,3,450,1
445,RL,8750,7,5,1994,Gd,915,1908,210000,5,3,0,0,2,227,0
446,RL,9855,6,5,1956,TA,1436,1689,127500,4,1,1,0,2,377,0
447,RL,16492,6,6,1966,Gd,1517,1888,190000,3,1,1,1,3,256,0
448,RL,11214,7,5,1998,Gd,930,1886,199900,1,1,1,1,1,410,1
449,RM,8600,6,6,1937,TA,780,1376,119500,3,2,0,1,3,277,1
450,RM,6000,3,7,1948,TA,649,1183,120000,2,2,0,1,2,132,0
451,RM,5684,6,8,1930,TA,813,813,110000,2,3,0,0,2,292,0
452,RL,70761,7,5,1975,TA,1533,1533,280000,1,2,1,0,2,398,1
453,RL,9303,6,5,1996,Gd,872,1756,204000,3,3,0,0,3,481,0
454,FV,9000,8,5,2008,Gd,768,1590,210000,2,1,0,1,3,278,0
455,RL,9297,5,5,1976,TA,1728,1728,188000,1,2,0,0,1,113,0
456,RL,9600,7,6,1973,TA,1242,1242,175500,2,2,0,0,2,104,0
457,RM,4571,5,5,1916,TA,624,1344,98000,5,2,1,1,2,490,0
458,RL,53227,4,6,1954,TA,1364,1663,256000,5,3,1,0,3,445,1
459,RM,5100,8,7,1925,TA,588,1666,161000,1,2,0,1,3,293,1
460,RL,7015,5,4,1950,TA,709,1203,110000,3,3,0,1,3,224,1
461,FV,8004,8,5,2009,Gd,832,1935,263435,3,1,0,1,2,453,1
462,RL,7200,7,9,1936,Gd,560,1135,155000,4,2,0,1,3,104,1
463,RL,8281,5,5,1965,TA,864,864,62383,2,2,0,0,2,435,0
464,RL,11988,6,7,1934,TA,715,1660,188700,3,3,1,1,3,382,1
465,RL,8430,5,5,1978,TA,1040,1040,124000,5,2,1,1,2,171,0
466,RM,3072,7,5,2004,Gd,1375,1414,178740,5,1,1,0,2,433,1
467,RL,10628,7,5,1970,TA,1277,1277,167000,5,3,0,1,2,421,0
468,RL,9480,5,7,1942,TA,728,1644,146500,4,2,0,0,3,319,1
469,RL,11428,8,5,2006,Gd,1626,1634,250000,5,3,0,1,1,359,1
470,RL,9291,6,5,1993,Gd,832,1710,187000,2,3,0,1,2,443,0
471,RL,6820,8,5,1985,Gd,1488,1502,212000,3,3,0,0,2,154,0
472,RL,11952,7,6,1977,TA,808,1969,190000,3,2,1,0,1,319,1
473,RM,3675,6,5,2005,TA,547,1072,148000,2,3,1,1,1,172,0
474,RL,14977,8,5,2006,Gd,1976,1976,440000,3,2,0,0,2,271,1
475,RL,5330,8,5,2000,Gd,1494,1652,251000,4,2,1,1,3,444,1
476,RL,8480,5,6,1963,TA,970,970,132500,2,1,1,1,1,499,0
477,RL,13125,6,5,1997,TA,1478,1493,208900,2,3,1,1,1,291,1
478,RL,13693,9,5,2006,Ex,2153,2643,380000,4,2,1,1,1,388,0
479,RL,10637,8,5,2007,Gd,1705,1718,297000,2,3,0,0,1,245,0
480,RM,5925,4,7,1937,TA,907,1131,89471,3,2,1,0,3,197,0
481,RL,16033,9,5,2004,Gd,1833,1850,326000,5,3,0,1,1,175,1
482,RL,11846,9,5,2003,Gd,1792,1792,374000,4,1,0,1,3,362,1
483,RM,2500,7,8,1915,Gd,910,1826,155000,4,3,0,0,1,190,1
484,RM,4500,6,5,1998,TA,1216,1216,164000,4,2,0,0,1,294,0
485,RL,7758,5,7,1962,TA,999,999,132500,3,1,1,1,2,395,1
486,RL,9600,5,7,1950,Gd,1113,1113,147000,3,3,0,0,2,127,1
487,RL,10289,5,7,1965,TA,1073,1073,156000,3,2,0,0,1,426,0
488,RL,12243,5,6,1971,TA,1484,1484,175000,3,1,0,1,2,479,1
489,RL,10800,5,4,1900,TA,954,2414,160000,1,1,0,1,3,376,0
490,RM,1526,4,8,1970,TA,630,630,86000,2,3,1,0,3,411,0
491,RM,2665,5,6,1976,TA,264,1304,115000,1,3,0,1,2,349,1
492,RL,9490,6,7,1941,TA,806,1578,133000,1,1,0,0,1,399,1
493,RL,15578,6,5,2006,Gd,728,1456,172785,1,2,1,0,3,155,1
494,RL,7931,5,6,1960,TA,1269,1269,155000,2,3,0,0,3,111,1
495,RM,5784,5,8,1938,TA,190,886,91300,4,3,1,0,1,321,1
496,C (all),7879,4,5,1920,TA,720,720,34900,2,1,1,0,3,343,1
497,RL,12692,8,5,1992,Gd,3200,3228,430000,1,1,1,1,1,272,1
498,RL,9120,7,6,1925,TA,1026,1820,184000,4,1,1,1,1,227,1
499,RL,7800,5,7,1967,TA,864,899,130000,4,3,0,0,2,178,1
500,RL,7535,5,7,1958,TA,912,912,120000,4,2,1,1,3,132,1
501,RM,1890,6,5,1973,TA,672,1218,113000,3,1,0,1,2,411,1
502,FV,9803,7,5,2005,Gd,866,1768,226700,1,1,1,1,2,194,0
503,RL,9170,5,7,1965,TA,1214,1214,140000,1,1,1,0,1,275,0
504,RL,15602,7,8,1959,TA,1501,1801,289000,2,1,1,0,2,287,1
505,RL,2308,6,5,1974,TA,855,1322,147000,4,2,1,1,3,442,0
506,RM,7596,5,5,1952,TA,960,1960,124500,4,3,1,1,2,135,1
507,RL,9554,8,5,1993,Gd,777,1911,215000,3,3,1,0,2,226,0
508,FV,7862,6,5,2009,Gd,1218,1218,208300,5,3,0,1,3,365,1
509,RM,9600,7,9,1928,TA,689,1378,161000,1,2,1,0,3,477,1
510,RL,9600,5,6,1959,TA,1041,1041,124500,4,1,1,1,2,369,1
511,RL,14559,5,7,1951,Gd,1008,1363,164900,4,2,0,1,3,354,0
512,RL,6792,7,5,2005,Gd,1368,1368,202665,1,1,1,0,3,494,0
513,RL,9100,5,5,1958,TA,864,864,129900,5,2,0,0,1,188,0
514,RL,9187,6,5,1983,TA,1084,1080,134000,4,3,0,1,2,297,0
515,RL,10594,5,5,1926,TA,768,789,96500,5,1,1,0,2,308,1
516,RL,12220,10,5,2009,Ex,2006,2020,402861,1,3,0,0,1,445,0
517,RL,10448,6,6,1972,TA,689,2119,158000,4,3,1,0,1,235,1
518,RL,10208,7,5,1996,Gd,1264,2344,265000,1,2,0,0,3,202,1
519,RL,9531,6,5,1998,TA,794,1796,211000,3,3,1,0,3,275,0
520,RL,10918,7,9,1926,Gd,1276,2080,234000,5,3,0,1,3,460,1
521,RL,10800,4,7,1900,TA,0,1294,106250,5,1,1,0,2,264,1
522,RL,11988,6,6,1957,TA,1244,1244,150000,1,2,0,0,2,358,1
523,RM,5000,6,7,1947,TA,1004,1664,159000,2,2,1,1,2,155,0
524,RL,40094,10,5,2007,Ex,3138,4676,184750,1,3,0,1,2,486,1
525,RL,11787,7,5,1996,Gd,1379,2398,315750,2,2,1,0,3,304,1
526,FV,7500,7,5,2005,Gd,1257,1266,176000,1,3,0,1,1,433,0
527,RL,13300,5,7,1956,TA,928,928,132000,3,3,1,1,3,289,0
528,RL,14948,9,5,2008,Ex,1452,2713,446261,5,1,0,1,3,168,0
529,RL,9098,4,7,1920,TA,528,605,86000,1,3,0,0,2,394,0
530,RL,32668,6,3,1957,Gd,2035,2515,200624,2,1,1,0,1,191,1
531,RL,10200,6,5,1988,Gd,1461,1509,175000,5,1,1,1,2,192,0
532,RM,6155,6,8,1920,TA,611,1362,128000,4,2,1,1,1,108,1
533,RL,7200,5,7,1955,TA,0,827,107500,4,1,1,1,2,452,1
534,RL,5000,1,3,1946,Fa,0,334,39300,2,1,1,1,2,449,0
535,RL,9056,8,5,2004,Gd,707,1414,178000,1,1,0,1,3,311,1
536,RL,7000,5,7,1910,TA,1117,1347,107500,1,1,1,1,2,220,0
537,RL,8924,7,5,1998,TA,880,1724,188000,4,1,0,1,2,402,0
538,RL,12735,4,5,1972,TA,864,864,111250,3,3,0,0,1,248,1
539,RL,11553,5,5,1968,TA,1051,1159,158000,2,3,0,0,1,325,1
540,RL,11423,8,5,2001,Gd,1581,1601,272000,2,1,0,1,1,200,0
541,RL,14601,9,5,2006,Ex,1838,1838,315000,1,3,0,1,1,330,1
542,RL,11000,8,5,2000,Gd,969,2285,248000,2,1,1,1,1,352,0
543,RL,10140,7,5,1998,Gd,1650,1680,213250,3,1,0,0,3,347,0
544,RH,4058,7,5,1998,TA,723,767,133000,3,1,0,1,3,386,0
545,RL,17104,7,5,2006,Gd,654,1496,179665,1,1,1,0,2,437,1
546,RL,13837,7,5,1988,Gd,1204,2183,229000,4,2,1,1,3,472,0
547,RL,8737,6,7,1923,TA,1065,1635,210000,2,1,0,1,3,110,0
548,RL,7244,5,7,1970,TA,768,768,129500,5,1,1,1,1,114,0
549,RM,8235,5,7,1955,TA,825,825,125000,4,1,0,1,2,477,0
550,FV,9375,7,5,2003,Gd,912,2094,263000,4,1,0,1,1,209,0
551,RL,4043,6,6,1977,TA,1069,1069,140000,4,1,1,1,2,150,1
552,RM,6000,5,6,1957,TA,928,928,112500,4,2,1,0,3,499,0
553,RL,11146,8,5,2006,Gd,1709,1717,255500,4,3,0,0,3,329,1
554,RL,8777,4,5,1949,TA,0,1126,108000,4,2,0,0,1,246,0
555,RL,10625,7,5,2003,Gd,998,2046,284000,4,2,0,0,2,111,0
556,RM,6380,5,6,1922,TA,993,1048,113000,4,2,1,0,2,230,1
557,RL,14850,5,5,1957,TA,1092,1092,141000,2,3,1,0,1,257,0
558,C (all),11040,4,6,1920,TA,637,1336,108000,2,1,1,1,3,264,1
559,RL,21872,7,5,1996,TA,729,1446,175000,5,1,1,1,3,362,1
560,RL,3196,7,5,2003,Gd,1374,1557,234000,1,3,0,0,3,176,1
561,RL,11341,5,6,1957,TA,1392,1392,121500,5,3,1,0,1,155,1
562,RL,10010,5,5,1974,TA,1389,1389,170000,2,2,1,0,3,160,1
563,RL,13907,5,6,1940,TA,996,996,108000,4,1,1,0,3,105,0
564,RL,21780,6,7,1918,TA,1163,1674,185000,2,2,1,0,3,272,1
565,RL,13346,7,5,1992,Gd,1095,2295,268000,1,2,0,0,3,100,1
566,RL,6858,6,4,1915,TA,806,1647,128000,4,3,0,0,3,247,1
567,RL,11198,9,5,2005,Gd,1122,2504,325000,3,3,0,0,3,470,1
568,RL,10171,7,5,2004,Gd,1517,1535,214000,1,2,1,0,2,286,0
569,RL,12327,8,8,1983,Gd,1496,2132,316600,5,2,0,0,1,227,0
570,RL,7032,5,5,1979,TA,943,943,135960,2,1,0,0,3,398,0
571,RL,13101,5,5,1965,TA,1728,1728,142600,3,2,0,1,1,430,0
572,RL,7332,6,6,1959,TA,864,864,120000,4,3,1,1,2,429,1
573,RL,13159,7,5,2009,TA,846,1692,224500,3,1,1,0,1,307,0
574,RL,9967,7,5,2000,TA,384,1430,170000,2,2,1,1,3,229,0
575,RL,10500,5,7,1971,TA,372,1109,139000,5,1,1,1,2,260,1
576,RL,8480,5,5,1947,TA,832,1216,118500,3,2,0,0,1,329,0
577,RL,6292,7,7,1928,TA,861,1477,145000,1,3,0,0,2,123,1
578,RL,11777,5,6,1966,TA,1164,1320,164500,1,2,0,0,3,368,0
579,FV,3604,7,5,2007,Gd,689,1392,146000,3,3,1,1,1,244,1
580,RM,12150,5,5,1954,TA,1050,1795,131500,2,2,0,1,1,364,1
581,RL,14585,6,6,1960,TA,1144,1429,181900,2,2,0,0,3,196,0
582,RL,12704,8,5,2008,Ex,2042,2042,253293,5,3,1,0,3,478,0
583,RL,11841,6,5,1990,TA,816,816,118500,2,2,0,1,3,391,1
584,RM,13500,10,9,1893,Ex,1237,2775,325000,1,2,1,0,1,447,0
585,RM,6120,4,7,1935,TA,884,1573,133000,5,2,1,0,2,345,0
586,RL,11443,8,5,2005,Gd,1868,2028,369900,4,1,0,0,1,138,0
587,RL,10267,6,7,1918,TA,816,838,130000,3,3,1,1,2,207,1
588,RL,8740,5,6,1982,TA,840,860,137000,5,2,1,0,3,461,1
589,RL,25095,5,8,1968,TA,1437,1473,143000,5,3,0,1,2,498,1
590,RM,9100,5,6,1930,TA,742,935,79500,1,2,1,1,3,409,0
591,RL,8320,7,5,2004,Gd,770,1582,185900,5,3,1,0,1,232,0
592,RL,13478,10,5,2008,Ex,1722,2296,451950,3,3,0,0,2,410,0
593,RL,6600,5,8,1982,TA,816,816,138000,5,1,1,0,1,125,0
594,RM,4435,6,5,2003,Gd,848,848,140000,2,1,1,1,1,367,0
595,RL,7990,5,6,1975,TA,924,924,110000,2,1,1,1,2,261,1
596,RL,11302,8,5,2005,Gd,1814,1826,319000,3,3,1,1,2,143,0
597,RM,3600,6,7,1910,TA,684,1368,114504,3,3,1,0,3,397,0
598,RL,3922,7,5,2006,Gd,1258,1402,194201,2,3,0,1,2,145,1
599,RL,12984,5,6,1977,TA,1430,1647,217500,3,2,0,0,2,278,0
600,RM,1950,6,6,1980,TA,716,1556,151000,4,3,1,1,2,351,0
601,RL,10927,8,5,2005,Gd,1058,1904,275000,4,3,0,0,1,278,1
602,RM,9000,6,6,1937,TA,780,1375,141000,4,2,1,0,3,483,0
603,RL,10041,8,5,1992,Gd,908,1915,220000,1,2,0,0,2,257,1
604,FV,3182,7,5,2004,Gd,600,1200,151000,4,3,1,1,3,472,0
605,RL,12803,7,5,2002,Gd,1494,1494,221000,3,3,1,0,3,332,1
606,RL,13600,7,6,1965,TA,768,1986,205000,2,3,1,0,3,363,0
607,RL,12464,5,5,1996,TA,1040,1040,152000,3,3,1,0,1,451,1
608,RL,7800,5,8,1948,TA,896,2008,225000,5,3,0,0,3,172,0
609,RL,12168,8,6,1934,TA,965,3194,359100,1,3,0,1,3,139,1
610,RL,7943,4,5,1961,TA,1029,1029,118500,3,3,0,0,2,188,0
611,RL,11050,9,5,2000,Gd,1440,2153,313000,3,3,0,0,3,493,1
612,RL,10395,6,6,1978,TA,1032,1032,148000,2,2,1,1,1,470,1
613,RL,11885,8,5,2001,Gd,1299,1872,261500,3,2,0,1,2,222,0
614,RL,8402,5,5,2007,TA,1120,1120,147000,3,3,0,0,2,386,1
615,RM,1491,4,6,1972,TA,630,630,75500,4,1,1,1,2,495,1
616,RL,8800,6,7,1963,TA,936,1054,137500,1,3,0,0,3,438,1
617,RL,7861,6,5,2002,Gd,783,1509,183200,4,2,0,1,1,106,1
618,RL,7227,6,6,1954,TA,832,832,105500,4,1,1,1,3,336,0
619,RL,11694,9,5,2007,Ex,1822,1828,314813,2,3,0,1,3,143,1
620,RL,12244,8,5,2003,Gd,1482,2262,305000,1,3,0,1,3,380,1
621,RL,8248,3,3,1914,TA,864,864,67000,4,1,0,1,3,112,1
622,RL,10800,6,7,1974,TA,1522,2614,240000,2,2,0,1,1,335,0
623,RL,7064,5,6,1977,TA,980,980,135000,5,2,0,1,3,194,0
624,FV,2117,6,5,2000,Gd,756,1512,168500,5,1,1,0,1,182,1
625,RL,10400,6,5,1972,TA,732,1790,165150,5,1,1,0,1,231,1
626,RL,10000,6,6,1962,TA,1116,1116,160000,3,3,1,1,1,324,0
627,RL,12342,5,5,1960,TA,978,1422,139900,1,1,1,1,3,368,1
628,RL,9600,6,6,1955,TA,1156,1520,153000,3,2,1,0,2,118,0
629,RL,11606,5,5,1969,TA,1040,2080,135000,1,2,1,0,3,480,1
630,RL,9020,6,5,1964,TA,1248,1350,168500,3,2,0,1,1,480,1
631,RM,9000,5,6,1880,TA,636,1750,124000,4,3,1,1,2,423,1
632,RL,4590,8,5,2006,Gd,1554,1554,209500,5,1,1,1,1,165,0
633,RL,11900,7,5,1977,TA,1386,1411,82500,1,1,0,0,3,413,0
634,RL,9250,5,7,1954,TA,1056,1056,139400,4,3,0,1,3,467,0
635,RL,6979,6,5,1980,TA,1056,1056,144000,5,3,1,0,2,227,1
636,RH,10896,6,7,1914,Fa,1440,3395,200000,4,3,1,1,1,471,1
637,RM,6120,2,3,1936,Fa,264,800,60000,1,1,0,1,1,243,1
638,RM,6000,5,4,1954,TA,811,1387,93000,5,1,0,0,3,427,1
639,RL,8777,5,7,1910,TA,796,796,85000,3,3,0,0,3,337,0
640,RL,3982,8,5,2006,Gd,1520,1567,264561,2,3,1,0,2,409,0
641,RL,12677,8,5,2003,Ex,1518,1518,274000,4,3,1,0,1,252,0
642,FV,7050,7,5,2001,Gd,1057,1929,226000,2,1,0,0,1,444,1
643,RL,13860,8,7,1972,Gd,1952,2704,345000,2,1,1,0,2,215,1
644,RL,10793,5,5,1969,TA,780,1620,152000,3,1,0,1,1,140,0
645,FV,9187,9,5,2009,Ex,1766,1766,370878,5,1,0,0,3,196,1
646,RL,10530,6,5,1971,TA,981,981,143250,1,3,1,0,1,321,0
647,RL,7200,5,5,1950,TA,0,1048,98300,3,3,0,0,1,311,0
648,RL,10452,6,5,1953,TA,1094,1094,155000,3,2,1,0,1,305,1
649,RL,7700,6,5,1966,TA,756,1839,155000,4,3,1,1,1,412,0
650,RM,1936,4,6,1970,TA,630,630,84500,4,2,0,0,3,479,1
651,FV,8125,7,6,2007,Gd,813,1665,205950,3,1,0,1,1,260,0
652,RL,9084,4,5,1940,TA,755,1510,108000,1,1,1,1,2,372,0
653,RL,8750,7,5,1996,Gd,880,1716,191000,5,1,0,0,1,454,0
654,RM,10320,6,7,1906,TA,756,1469,135000,4,2,1,1,3,244,1
655,RL,10437,8,6,1995,Gd,2109,2113,350000,2,1,1,1,1,442,1
656,RM,1680,6,5,1971,TA,525,1092,88000,4,3,0,0,2,210,0
657,RL,10007,5,7,1959,Gd,1053,1053,145500,4,2,0,1,3,139,0
658,RL,7200,7,6,1931,TA,776,1502,149000,2,3,0,0,1,378,1
659,RL,17503,6,5,1948,TA,912,1458,97500,4,3,1,1,1,341,0
660,RL,9937,5,7,1964,TA,1486,1486,167000,4,1,0,0,3,198,1
661,RL,12384,7,7,1976,TA,793,1935,197900,2,2,1,1,2,255,0
662,RL,46589,8,7,1994,Gd,1629,2448,402000,5,1,1,0,2,208,1
663,RL,13560,6,3,1968,TA,1392,1392,110000,2,3,0,1,1,291,1
664,RL,10012,4,5,1972,TA,1138,1181,137500,4,1,1,0,3,306,1
665,RL,20896,8,5,2005,Gd,2077,2097,423000,1,2,0,1,3,111,0
666,RL,11194,8,5,2000,Gd,1406,1936,230500,1,3,0,0,1,103,1
667,RL,18450,6,5,1965,TA,1021,2380,129000,5,1,1,1,2,412,0
668,RL,8125,6,5,1994,TA,1408,1679,193500,3,2,0,0,1,226,1
669,RL,14175,5,6,1956,TA,1188,1437,168000,5,2,0,0,2,182,0
670,RL,11600,4,5,1922,TA,700,1180,137500,1,1,0,0,1,442,0
671,RL,8633,6,5,2005,Gd,738,1476,173500,1,1,0,0,1,306,0
672,RH,6629,6,6,1925,TA,672,1369,103600,2,3,1,1,1,317,1
673,RL,11250,6,6,1977,Gd,1208,1208,165000,5,1,1,0,3,466,0
674,RL,14442,6,7,1957,TA,1477,1839,257500,2,1,1,1,2,192,0
675,RL,9200,6,6,1965,TA,1136,1136,140000,1,3,1,1,2,407,1
676,RL,2289,6,6,1978,TA,855,1441,148500,4,1,1,0,2,148,0
677,RM,9600,4,2,1900,TA,1095,1774,87000,4,3,1,1,1,147,0
678,RL,9022,5,8,1924,Gd,768,792,109500,3,1,0,0,1,233,1
679,RL,11844,8,5,2008,Gd,2046,2046,372500,4,3,0,0,1,478,1
