Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice
520,RL,10918,7,9,1926,Gd,1276,2080,234000
521,RL,10800,4,7,1900,TA,0,1294,106250
522,RL,11988,6,6,1957,TA,1244,1244,150000
523,RM,5000,6,7,1947,TA,1004,1664,159000
524,RL,40094,10,5,2007,Ex,3138,4676,184750
525,RL,11787,7,5,1996,Gd,1379,2398,315750
526,FV,7500,7,5,2005,Gd,1257,1266,176000
527,RL,13300,5,7,1956,TA,928,928,132000
528,RL,14948,9,5,2008,Ex,1452,2713,446261
529,RL,9098,4,7,1920,TA,528,605,86000
530,RL,32668,6,3,1957,Gd,2035,2515,200624
531,RL,10200,6,5,1988,Gd,1461,1509,175000
532,RM,6155,6,8,1920,TA,611,1362,128000
533,RL,7200,5,7,1955,TA,0,827,107500
534,RL,5000,1,3,1946,Fa,0,334,39300
535,RL,9056,8,5,2004,Gd,707,1414,178000
536,RL,7000,5,7,1910,TA,1117,1347,107500
537,RL,8924,7,5,1998,TA,880,1724,188000
538,RL,12735,4,5,1972,TA,864,864,111250
539,RL,11553,5,5,1968,TA,1051,1159,158000
540,RL,11423,8,5,2001,Gd,1581,1601,272000
541,RL,14601,9,5,2006,Ex,1838,1838,315000
542,RL,11000,8,5,2000,Gd,969,2285,248000
543,RL,10140,7,5,1998,Gd,1650,1680,213250
544,RH,4058,7,5,1998,TA,723,767,133000
545,RL,17104,7,5,2006,Gd,654,1496,179665
546,RL,13837,7,5,1988,Gd,1204,2183,229000
547,RL,8737,6,7,1923,TA,1065,1635,210000
548,RL,7244,5,7,1970,TA,768,768,129500
549,RM,8235,5,7,1955,TA,825,825,125000
550,FV,9375,7,5,2003,Gd,912,2094,263000
551,RL,4043,6,6,1977,TA,1069,1069,140000
552,RM,6000,5,6,1957,TA,928,928,112500
553,RL,11146,8,5,2006,Gd,1709,1717,255500
554,RL,8777,4,5,1949,TA,0,1126,108000
555,RL,10625,7,5,2003,Gd,998,2046,284000
556,RM,6380,5,6,1922,TA,993,1048,113000
557,RL,14850,5,5,1957,TA,1092,1092,141000
558,C (all),11040,4,6,1920,TA,637,1336,108000
559,RL,21872,7,5,1996,TA,729,1446,175000
560,RL,3196,7,5,2003,Gd,1374,1557,234000
561,RL,11341,5,6,1957,TA,1392,1392,121500
562,RL,10010,5,5,1974,TA,1389,1389,170000
563,RL,13907,5,6,1940,TA,996,996,108000
564,RL,21780,6,7,1918,TA,1163,1674,185000
565,RL,13346,7,5,1992,Gd,1095,2295,268000
566,RL,6858,6,4,1915,TA,806,1647,128000
567,RL,11198,9,5,2005,Gd,1122,2504,325000
568,RL,10171,7,5,2004,Gd,1517,1535,214000
569,RL,12327,8,8,1983,Gd,1496,2132,316600
570,RL,7032,5,5,1979,TA,943,943,135960
571,RL,13101,5,5,1965,TA,1728,1728,142600
572,RL,7332,6,6,1959,TA,864,864,120000
573,RL,13159,7,5,2009,TA,846,1692,224500
574,RL,9967,7,5,2000,TA,384,1430,170000
575,RL,10500,5,7,1971,TA,372,1109,139000
576,RL,8480,5,5,1947,TA,832,1216,118500
577,RL,6292,7,7,1928,TA,861,1477,145000
578,RL,11777,5,6,1966,TA,1164,1320,164500
579,FV,3604,7,5,2007,Gd,689,1392,146000
580,RM,12150,5,5,1954,TA,1050,1795,131500
581,RL,14585,6,6,1960,TA,1144,1429,181900
582,RL,12704,8,5,2008,Ex,2042,2042,253293
583,RL,11841,6,5,1990,TA,816,816,118500
584,RM,13500,10,9,1893,Ex,1237,2775,325000
585,RM,6120,4,7,1935,TA,884,1573,133000
586,RL,11443,8,5,2005,Gd,1868,2028,369900
587,RL,10267,6,7,1918,TA,816,838,130000
588,RL,8740,5,6,1982,TA,840,860,137000
589,RL,25095,5,8,1968,TA,1437,1473,143000
590,RM,9100,5,6,1930,TA,742,935,79500
591,RL,8320,7,5,2004,Gd,770,1582,185900
592,RL,13478,10,5,2008,Ex,1722,2296,451950
593,RL,6600,5,8,1982,TA,816,816,138000
594,RM,4435,6,5,2003,Gd,848,848,140000
595,RL,7990,5,6,1975,TA,924,924,110000
596,RL,11302,8,5,2005,Gd,1814,1826,319000
597,RM,3600,6,7,1910,TA,684,1368,114504
598,RL,3922,7,5,2006,Gd,1258,1402,194201
599,RL,12984,5,6,1977,TA,1430,1647,217500
600,RM,1950,6,6,1980,TA,716,1556,151000
601,RL,10927,8,5,2005,Gd,1058,1904,275000
602,RM,9000,6,6,1937,TA,780,1375,141000
603,RL,10041,8,5,1992,Gd,908,1915,220000
604,FV,3182,7,5,2004,Gd,600,1200,151000
605,RL,12803,7,5,2002,Gd,1494,1494,221000
606,RL,13600,7,6,1965,TA,768,1986,205000
607,RL,12464,5,5,1996,TA,1040,1040,152000
608,RL,7800,5,8,1948,TA,896,2008,225000
609,RL,12168,8,6,1934,TA,965,3194,359100
610,RL,7943,4,5,1961,TA,1029,1029,118500
611,RL,11050,9,5,2000,Gd,1440,2153,313000
612,RL,10395,6,6,1978,TA,1032,1032,148000
613,RL,11885,8,5,2001,Gd,1299,1872,261500
614,RL,8402,5,5,2007,TA,1120,1120,147000
615,RM,1491,4,6,1972,TA,630,630,75500
616,RL,8800,6,7,1963,TA,936,1054,137500
617,RL,7861,6,5,2002,Gd,783,1509,183200
618,RL,7227,6,6,1954,TA,832,832,105500
619,RL,11694,9,5,2007,Ex,1822,1828,314813
620,RL,12244,8,5,2003,Gd,1482,2262,305000
621,RL,8248,3,3,1914,TA,864,864,67000
622,RL,10800,6,7,1974,TA,1522,2614,240000
623,RL,7064,5,6,1977,TA,980,980,135000
624,FV,2117,6,5,2000,Gd,756,1512,168500
625,RL,10400,6,5,1972,TA,732,1790,165150
626,RL,10000,6,6,1962,TA,1116,1116,160000
627,RL,12342,5,5,1960,TA,978,1422,139900
628,RL,9600,6,6,1955,TA,1156,1520,153000
629,RL,11606,5,5,1969,TA,1040,2080,135000
630,RL,9020,6,5,1964,TA,1248,1350,168500
631,RM,9000,5,6,1880,TA,636,1750,124000
632,RL,4590,8,5,2006,Gd,1554,1554,209500
633,RL,11900,7,5,1977,TA,1386,1411,82500
634,RL,9250,5,7,1954,TA,1056,1056,139400
635,RL,6979,6,5,1980,TA,1056,1056,144000
636,RH,10896,6,7,1914,Fa,1440,3395,200000
637,RM,6120,2,3,1936,Fa,264,800,60000
638,RM,6000,5,4,1954,TA,811,1387,93000
639,RL,8777,5,7,1910,TA,796,796,85000
640,RL,3982,8,5,2006,Gd,1520,1567,264561
641,RL,12677,8,5,2003,Ex,1518,1518,274000
642,FV,7050,7,5,2001,Gd,1057,1929,226000
643,RL,13860,8,7,1972,Gd,1952,2704,345000
644,RL,10793,5,5,1969,TA,780,1620,152000
645,FV,9187,9,5,2009,Ex,1766,1766,370878
646,RL,10530,6,5,1971,TA,981,981,143250
647,RL,7200,5,5,1950,TA,0,1048,98300
648,RL,10452,6,5,1953,TA,1094,1094,155000
649,RL,7700,6,5,1966,TA,756,1839,155000
650,RM,1936,4,6,1970,TA,630,630,84500
651,FV,8125,7,6,2007,Gd,813,1665,205950
652,RL,9084,4,5,1940,TA,755,1510,108000
653,RL,8750,7,5,1996,Gd,880,1716,191000
654,RM,10320,6,7,1906,TA,756,1469,135000
655,RL,10437,8,6,1995,Gd,2109,2113,350000
656,RM,1680,6,5,1971,TA,525,1092,88000
657,RL,10007,5,7,1959,Gd,1053,1053,145500
658,RL,7200,7,6,1931,TA,776,1502,149000
659,RL,17503,6,5,1948,TA,912,1458,97500
660,RL,9937,5,7,1964,TA,1486,1486,167000
661,RL,12384,7,7,1976,TA,793,1935,197900
662,RL,46589,8,7,1994,Gd,1629,2448,402000
663,RL,13560,6,3,1968,TA,1392,1392,110000
664,RL,10012,4,5,1972,TA,1138,1181,137500
665,RL,20896,8,5,2005,Gd,2077,2097,423000
666,RL,11194,8,5,2000,Gd,1406,1936,230500
667,RL,18450,6,5,1965,TA,1021,2380,129000
668,RL,8125,6,5,1994,TA,1408,1679,193500
669,RL,14175,5,6,1956,TA,1188,1437,168000
670,RL,11600,4,5,1922,TA,700,1180,137500
671,RL,8633,6,5,2005,Gd,738,1476,173500
672,RH,6629,6,6,1925,TA,672,1369,103600
673,RL,11250,6,6,1977,Gd,1208,1208,165000
674,RL,14442,6,7,1957,TA,1477,1839,257500
675,RL,9200,6,6,1965,TA,1136,1136,140000
676,RL,2289,6,6,1978,TA,855,1441,148500
677,RM,9600,4,2,1900,TA,1095,1774,87000
678,RL,9022,5,8,1924,Gd,768,792,109500
679,RL,11844,8,5,2008,Gd,2046,2046,372500
680,RL,9945,5,5,1961,TA,988,988,128500
681,RL,8012,6,5,1980,TA,923,923,143000
682,RH,4500,5,5,1932,TA,793,1520,159434
683,RL,2887,6,5,1996,TA,1291,1291,173000
684,RL,11248,9,5,2002,Gd,1626,1668,285000
685,RL,16770,7,5,1998,Gd,1195,1839,221000
686,RL,5062,7,5,1984,Gd,1190,2090,207500
687,FV,10207,7,6,2007,Gd,874,1761,227875
688,FV,5105,7,5,2004,Gd,551,1102,148800
689,RL,8089,8,6,2007,Gd,1419,1419,392000
690,RL,7577,6,5,2005,Gd,1362,1362,194700
691,RM,4426,6,5,2004,Gd,848,848,141000
692,RL,21535,10,6,1994,Ex,2444,4316,755000
693,RL,26178,7,5,1989,Gd,1210,2519,335000
694,RL,5400,5,6,1921,TA,1073,1073,108480
695,RM,6120,5,6,1936,TA,927,1539,141500
696,RL,13811,6,6,1987,TA,1112,1137,176000
697,RM,6000,5,7,1921,TA,616,616,89000
698,RL,6420,5,7,1952,TA,980,1148,123500
699,RL,8450,5,8,1965,TA,894,894,138500
700,FV,4282,7,5,2004,Gd,1391,1391,196000
701,RL,14331,8,5,2002,Gd,1800,1800,312500
702,RL,9600,7,5,1969,TA,1164,1164,140000
703,RL,12438,8,5,2006,Ex,1234,2576,361919
704,RM,7630,5,9,1900,TA,360,1812,140000
705,RL,8400,7,5,2004,Gd,1473,1484,213000
706,RM,5600,4,5,1930,Fa,0,1092,55000
707,RL,115149,7,5,1971,TA,1643,1824,302000
708,RL,6240,8,5,2006,Gd,1324,1324,254000
709,RL,9018,7,5,2007,Gd,728,1456,179540
710,RL,7162,5,7,1966,TA,876,904,109900
711,RL,4130,3,6,1935,Gd,270,729,52000
712,C (all),8712,4,7,1900,TA,859,1178,102776
713,RL,4671,8,5,1988,Gd,1228,1228,189000
714,RL,9873,4,5,1970,TA,960,960,129000
715,RL,13517,6,8,1976,Gd,725,1479,130500
716,RL,10140,6,5,1974,TA,1064,1350,165000
717,RM,10800,7,8,1890,TA,718,2554,159500
718,RL,10000,5,6,1973,TA,1176,1178,157000
719,RL,10542,7,5,1993,Gd,1311,2418,341000
720,RL,9920,5,6,1969,TA,971,971,128500
721,RL,6563,8,5,1985,Gd,1742,1742,275000
722,RM,4426,6,5,2004,Gd,848,848,143000
723,RL,8120,4,7,1970,TA,864,864,124500
724,RL,8172,4,6,1954,TA,941,1470,135000
725,RL,13286,9,5,2007,Ex,1698,1698,320000
726,RL,6960,4,6,1970,TA,864,864,120500
727,RL,21695,6,9,1988,Gd,880,1680,222000
728,RL,7314,7,5,2007,Gd,1232,1232,194500
729,RL,11475,5,5,1958,TA,1584,1776,110000
730,RM,6240,4,5,1925,TA,780,1208,103000
731,RL,5389,8,5,1995,Gd,1595,1616,236500
732,RL,9590,7,5,2003,Gd,868,1146,187500
733,RL,11404,7,5,1998,Gd,1153,2031,222500
734,RL,10000,5,6,1961,TA,864,1144,131400
735,RL,8978,5,5,1968,TA,948,948,108000
736,RM,10800,7,7,1914,TA,880,1768,163000
737,RL,8544,3,4,1950,TA,0,1040,93500
738,RL,10463,8,5,2005,Gd,893,1801,239900
739,RL,10800,5,5,1987,TA,1200,1200,179000
740,RL,9313,7,5,2004,Gd,864,1728,190000
741,RM,9600,5,7,1910,TA,264,1432,132000
742,RL,6768,6,8,1961,TA,912,912,142000
743,RL,8450,7,5,2000,TA,1349,1349,179000
744,RL,12886,5,6,1963,TA,520,1464,175000
745,RL,5395,8,5,1993,Gd,1337,1337,180000
746,RL,8963,8,9,1976,Ex,1142,2715,299800
747,RL,8795,7,5,2000,Gd,952,2256,236000
748,RM,11700,7,7,1880,Gd,1240,2640,265979
749,RL,10593,7,5,1996,Gd,1720,1720,260400
750,RL,8405,4,3,1945,TA,0,1529,98000
751,RM,8800,4,7,1910,TA,576,1140,96500
752,RL,7750,7,5,2003,Gd,660,1320,162000
753,RL,9236,6,5,1997,TA,1479,1494,217000
754,RL,10240,8,5,2005,Gd,1030,2098,275500
755,RL,7930,6,8,1969,TA,1026,1026,156000
756,FV,3230,6,5,1999,TA,729,1471,172500
757,RL,10769,8,5,2007,Gd,866,1768,212000
758,RL,11616,6,5,1978,TA,672,1386,158900
759,FV,2280,7,5,1999,TA,744,1501,179400
760,RL,12257,8,5,1995,Gd,1318,2531,290000
761,RL,9100,6,6,1959,TA,864,864,127500
762,RM,6911,5,5,1924,TA,1145,1301,100000
763,FV,8640,7,5,2009,TA,756,1547,215200
764,RL,9430,8,5,1999,Gd,1252,2365,337000
765,RL,9549,8,5,1995,Gd,1494,1494,270000
766,RL,14587,9,5,2008,Gd,1498,1506,264132
767,RL,10421,7,5,1988,TA,980,1714,196500
768,RL,12508,6,7,1940,TA,983,1750,160000
769,RL,9100,7,5,2004,Gd,1860,1836,216837
770,RL,53504,8,5,2003,Ex,1650,3279,538000
771,RL,7252,5,5,1982,TA,858,858,134900
772,RL,8877,4,5,1951,TA,836,1220,102000
773,RL,7819,6,5,1976,TA,1029,1117,107000
774,RL,10150,5,5,1958,TA,912,912,114500
775,RL,14226,8,5,2006,Gd,1935,1973,395000
776,RM,4500,6,5,1998,TA,1204,1204,162000
777,RL,11210,7,5,2005,Gd,1614,1614,221500
778,RL,13350,5,5,1974,TA,864,894,142500
779,RH,8400,5,5,1977,TA,0,2020,144000
780,RL,10530,6,5,1977,TA,975,1004,135000
781,RL,7875,7,5,1995,TA,1237,1253,176000
782,RL,7153,6,5,1992,Gd,761,1603,175900
783,RL,16285,7,5,2001,Gd,1413,1430,187100
784,RL,9101,5,6,1978,TA,1097,1110,165500
785,RM,6300,6,6,1914,TA,742,1484,128000
786,RL,9790,6,5,1967,TA,1372,1342,161500
787,RM,10800,5,6,1915,TA,686,1652,139000
788,RL,10142,7,5,2004,Gd,956,2084,233000
789,RM,6000,4,7,1954,TA,901,901,107900
790,RL,12205,6,8,1966,TA,832,2087,187500
791,RL,3182,7,5,2005,Gd,1145,1145,160200
792,RL,11333,6,5,1976,TA,1029,1062,146800
793,RL,9920,7,5,1996,Gd,1117,2013,269790
794,RL,9158,8,5,2007,Gd,1496,1496,225000
795,RL,10832,7,5,1994,Gd,712,1895,194500
796,RL,8400,6,6,1980,TA,650,1564,171000
797,RL,8197,6,5,1977,TA,660,1285,143500
798,RL,7677,5,5,1953,TA,773,773,110000
799,RL,13518,9,5,2008,Ex,1926,3140,485000
800,RL,7200,5,7,1937,TA,731,1768,175000
801,RL,12798,6,5,1997,TA,616,1688,200000
802,RM,4800,4,7,1916,TA,1196,1196,109900
803,RL,8199,7,5,2005,Gd,728,1456,189000
804,RL,13891,9,5,2008,Ex,1734,2822,582933
805,RL,9000,5,5,1954,TA,936,1128,118000
806,RL,12274,7,5,2008,Gd,1417,1428,227680
807,RL,9750,5,5,1967,TA,980,980,135500
808,RL,21384,5,6,1923,TA,1324,1576,223500
809,RL,13400,5,5,1966,TA,1024,1086,159950
810,RM,8100,5,5,1898,TA,849,2138,106000
811,RL,10140,6,6,1974,TA,1040,1309,181000
812,RM,4438,6,5,2004,Gd,848,848,144500
813,C (all),8712,5,5,1952,Fa,540,1044,55993
814,RL,9750,6,6,1958,TA,1442,1442,157900
815,RL,8248,5,7,1918,TA,686,1250,116000
816,RL,12137,7,5,1998,TA,1649,1661,224900
817,RL,11425,5,6,1954,TA,1008,1008,137000
818,RL,13265,8,5,2002,Gd,1568,1689,271000
819,RL,8816,6,7,1971,TA,1010,1052,155000
820,RL,6371,7,5,2009,Gd,1358,1358,224000
821,RL,7226,7,5,2003,Gd,798,1640,183000
822,RM,6000,4,4,1953,Fa,936,936,93000
823,RL,12394,7,5,2003,Gd,847,1733,225000
824,RL,9900,6,7,1940,TA,778,1489,139500
825,FV,11216,8,5,2006,Gd,1489,1489,232600
826,RL,14803,10,5,2007,Ex,2078,2084,385000
827,RM,6130,5,6,1924,TA,784,784,109500
828,RL,8529,7,5,2001,Gd,1454,1434,189000
829,RL,28698,5,5,1967,TA,1013,2126,185000
830,FV,2544,7,5,2005,Gd,600,1223,147400
831,RL,11900,6,5,1957,TA,1392,1392,166000
832,FV,3180,7,5,2005,TA,600,1200,151000
833,RL,9548,7,6,2003,Gd,941,1829,237000
834,RL,10004,6,6,1964,TA,1516,1516,167000
835,RL,7875,5,6,1961,TA,1144,1144,139950
836,RL,9600,4,7,1950,TA,1067,1067,128000
837,RM,8100,5,6,1948,TA,1559,1559,153500
838,RM,1680,6,5,1973,TA,483,987,100000
839,RL,9525,5,6,1995,TA,1099,1099,144000
840,RL,11767,5,6,1946,TA,768,1200,130500
841,RH,12155,6,8,1925,TA,672,1482,140000
842,RM,10440,5,8,1904,TA,650,1539,157500
843,RL,9020,6,7,1966,TA,1127,1165,174900
844,RL,8000,5,4,1961,TA,1800,1800,141000
845,RM,12665,5,8,1915,TA,876,1416,153900
846,RL,16647,5,5,1975,TA,1390,1701,171000
847,RL,9317,7,5,1993,Gd,740,1775,213000
848,RL,15523,5,6,1972,TA,864,864,133500
849,RL,45600,6,8,1908,TA,907,2358,240000
850,RL,9600,6,7,1976,Gd,528,1855,187000
851,RM,4435,6,5,2003,Gd,848,848,131500
852,RL,3196,8,5,2003,Gd,1273,1456,215000
853,RL,7128,7,5,1941,TA,918,1646,164000
854,RL,12095,6,6,1964,TA,1127,1445,158000
855,RL,17920,5,4,1955,TA,1763,1779,170000
856,RL,6897,5,8,1962,TA,1040,1040,127000
857,RL,10970,6,6,1978,TA,940,1026,147000
858,RL,8125,6,5,1994,TA,702,1481,174000
859,RL,10400,7,5,1976,TA,1090,1370,152000
860,RL,11029,6,7,1968,TA,1054,2654,250000
861,RL,7642,7,8,1918,Gd,912,1426,189950
862,RL,11625,5,4,1965,TA,1039,1039,131500
863,RL,9672,6,5,1984,TA,1040,1097,152000
864,RL,7931,5,5,1959,TA,1148,1148,132500
865,FV,8640,7,5,2007,Gd,1372,1372,250580
866,RL,8750,5,6,1970,TA,1002,1002,148500
867,RL,10656,8,5,2006,Gd,1638,1646,248900
868,RL,6970,4,5,1961,TA,1040,1120,129000
869,RL,14762,5,6,1948,TA,0,2320,169000
870,RL,9938,7,5,1993,Gd,1050,1949,236000
871,RL,6600,5,5,1962,TA,894,894,109500
872,RL,8750,6,5,1998,TA,804,1682,200500
873,RL,8892,5,7,1953,Gd,105,910,116000
874,RL,12144,5,7,1949,Gd,832,1268,133000
875,RM,5720,5,6,1941,TA,676,1131,66500
876,FV,9000,8,5,2007,Gd,1184,2610,303477
877,RL,25286,4,5,1963,TA,1064,1040,132250
878,RL,8834,9,5,2004,Gd,1462,2224,350000
879,RL,11782,5,7,1961,TA,1109,1155,148000
880,RL,7000,5,8,1978,Gd,864,864,136500
881,RL,7024,5,5,2005,TA,1090,1090,157000
882,RL,13758,7,5,1990,Gd,1156,1717,187500
883,RL,9636,6,5,1992,TA,808,1593,178000
884,RL,6204,4,5,1912,Gd,795,2230,118500
885,RL,7150,5,5,1967,TA,892,892,100000
886,FV,5119,9,5,1999,Gd,1698,1709,328900
887,RL,8393,5,5,1959,TA,1626,1712,145000
888,RL,16466,5,7,1955,TA,816,1393,135500
889,RL,15865,8,6,1970,Gd,2217,2217,268000
890,RL,12160,6,4,1953,TA,1505,1505,149500
891,RL,8064,5,7,1949,TA,672,924,122900
892,RL,11184,6,5,1978,TA,918,1683,172500
893,RL,8414,6,8,1963,TA,1059,1068,154500
894,RL,13284,5,5,1954,TA,1383,1383,165000
895,RL,7018,5,5,1979,TA,0,1535,118858
896,RL,7056,6,5,1963,TA,780,1796,140000
897,RM,8765,4,6,1936,TA,951,951,106500
898,RL,7018,5,5,1979,TA,0,2240,142953
899,RL,12919,9,5,2009,Ex,2330,2364,611657
900,RL,6993,5,7,1961,TA,912,1236,135000
901,RL,7340,4,6,1971,TA,858,858,110000
902,RL,8712,5,7,1957,TA,992,1306,153000
903,RL,7875,7,5,2003,Gd,783,1509,180000
904,RL,14859,7,5,2006,Gd,1670,1670,240000
905,RL,6173,5,6,1967,TA,876,902,125500
906,RL,9920,5,5,1954,TA,1056,1063,128000
907,RL,13501,8,5,2006,Gd,1623,1636,255000
908,RL,11500,7,7,1936,Gd,1017,2057,250000
909,RL,8885,5,5,1983,TA,864,902,131000
910,RL,12589,6,5,2005,Gd,742,1484,174000
911,RL,11600,5,5,1960,TA,1105,2274,154300
912,RL,9286,5,7,1977,TA,1268,1268,143500
913,RM,6120,5,7,1925,TA,768,1015,88000
914,RH,6270,5,6,1949,TA,1001,2002,145000
915,FV,3000,6,5,2009,Gd,612,1224,173733
916,RM,2001,4,5,1970,TA,546,1092,75000
917,C (all),9000,2,3,1949,TA,480,480,35311
918,RL,17140,4,6,1956,TA,1134,1229,135000
919,RL,13125,7,5,1991,Gd,1104,2127,238000
920,RL,11029,6,8,1958,Ex,1184,1414,176500
921,RL,8462,6,5,1994,Gd,928,1721,201000
922,RL,8777,5,7,1900,TA,1272,2200,145900
923,RL,10237,6,5,2005,Gd,1316,1316,169990
924,RL,8012,6,5,1993,Gd,1604,1617,193000
925,RL,10240,6,6,1980,TA,1686,1686,207500
926,RL,15611,5,6,1977,TA,1126,1126,175000
927,RL,11999,8,5,2003,Gd,1181,2374,285000
928,RL,9900,7,5,1968,TA,832,1978,176000
929,RL,11838,8,5,2001,Gd,1753,1788,236500
930,RL,13006,7,5,1997,TA,964,2236,222000
931,RL,8925,8,5,2007,Gd,1466,1466,201000
932,RL,9100,5,6,1965,TA,925,925,117500
933,RL,11670,9,5,2006,Ex,1905,1905,320000
934,RL,8487,7,5,2004,Gd,1500,1500,190000
935,RL,27650,7,7,1960,TA,585,2069,242000
936,RL,5825,4,5,1926,TA,600,747,79900
937,RL,10083,7,5,2003,Gd,1176,1200,184900
938,RL,9675,7,5,2005,Gd,1113,1971,253000
939,RL,8760,7,5,2006,Gd,1391,1962,239799
940,RL,24090,7,7,1940,TA,1032,2403,244400
941,RL,12640,6,5,1976,TA,1728,1728,150900
942,RL,8755,7,5,1999,Gd,992,2060,214000
943,RL,7711,4,3,1977,TA,1440,1440,150000
944,RL,25000,5,4,1967,TA,1632,1632,143000
945,RL,14375,6,6,1958,TA,819,1344,137500
946,RM,8820,5,6,1890,TA,1088,1869,124900
947,RL,8163,5,6,1959,TA,1144,1144,143000
948,RL,14536,8,5,2002,Gd,1616,1629,270000
949,RL,14006,7,5,2002,Gd,936,1776,192500
950,RL,9360,6,7,1972,TA,1161,1381,197500
951,RL,7200,5,8,1950,TA,864,864,129000
952,RH,7800,5,5,1965,TA,828,965,119900
953,RL,7200,5,8,1972,TA,768,768,133900
954,RL,11075,5,4,1969,TA,784,1968,172000
955,RL,9400,6,5,1975,TA,945,980,127500
956,RH,7136,6,6,1946,TA,979,1958,145000
957,RM,1300,6,6,1980,TA,561,1229,124000
958,RL,7420,5,5,1962,TA,1057,1057,132000
959,RL,8450,7,5,2003,Gd,1337,1337,185000
960,FV,2572,7,5,1999,Gd,696,1416,155000
961,RL,7207,5,7,1958,TA,858,858,116500
962,RL,12227,6,7,1977,TA,1330,2872,272000
963,RL,2308,6,6,1976,TA,804,1548,155000
964,RL,11923,9,5,2007,Gd,1800,1800,239000
965,RL,11316,7,5,2002,Gd,817,1894,214900
966,RL,10237,6,5,2005,Gd,783,1484,178900
967,RL,9600,5,7,1940,Gd,728,1308,160000
968,RL,7390,5,7,1955,TA,1098,1098,135000
969,RM,5925,3,6,1910,TA,600,968,37900
970,RL,10382,6,5,1958,TA,588,1095,140000
971,RL,10800,4,4,1949,TA,720,1192,135000
972,RL,2268,7,5,2003,Gd,764,1626,173000
973,RL,7892,6,5,1979,TA,918,918,99500
974,FV,11639,7,5,2007,Gd,1428,1428,182000
975,RL,11414,7,8,1910,TA,728,2019,167500
976,FV,2651,7,5,2000,Gd,673,1382,165000
977,RL,5900,4,7,1923,TA,440,869,85500
978,FV,4274,7,5,2006,Gd,1241,1241,199900
979,RL,9450,4,5,1954,TA,894,894,110000
980,RL,8816,5,6,1963,TA,1121,1121,139000
981,RL,12122,7,9,1961,Ex,944,999,178400
982,RL,12203,8,5,1998,Gd,1225,2612,336000
983,RL,3182,7,5,2007,Gd,1266,1266,159895
984,RL,11250,8,5,2002,Gd,1128,2290,255900
985,RL,10125,5,5,1977,TA,0,1734,126000
986,RL,10880,5,5,1950,TA,1164,1164,125000
987,RM,5310,6,8,1910,TA,485,1635,117000
988,RL,10159,9,5,2009,Ex,1930,1940,395192
989,RL,12046,6,6,1976,TA,848,2030,195000
990,FV,8125,7,5,2006,Gd,770,1576,197000
991,RL,9452,8,5,1997,Gd,1396,2392,348000
992,RM,17671,8,9,1882,Gd,916,1742,168000
993,RL,9760,6,8,1964,TA,822,1851,187000
994,RL,8846,6,5,2005,TA,750,1500,173900
995,RL,12456,10,5,2006,Ex,1700,1718,337500
996,RL,4712,4,7,1946,TA,747,1230,121600
997,RL,10659,5,6,1961,TA,1050,1050,136500
998,RL,11717,6,6,1970,TA,1442,1442,185000
999,RM,9786,3,4,1922,TA,1007,1077,91000
1000,RL,6762,7,5,2006,Gd,1187,1208,206000
1001,RL,10206,3,3,1952,TA,0,944,82000
1002,RL,5400,5,6,1920,TA,691,691,86000
1003,RL,11957,8,5,2006,Gd,1574,1574,232000
1004,RL,11500,5,6,1976,TA,1680,1680,136905
1005,RL,3182,7,5,2005,Gd,1346,1504,181000
1006,RL,8385,5,8,1977,Gd,985,985,149900
1007,RL,12155,6,3,1970,TA,1657,1657,163500
1008,RM,2217,4,4,1970,TA,546,1092,88000
1009,RL,12118,7,5,2004,Gd,1710,1710,240000
1010,RL,6000,5,5,1926,TA,1008,1522,102000
1011,RL,21286,5,5,1948,TA,720,1271,135000
1012,RL,9825,5,5,1965,TA,0,1664,100000
1013,RL,10592,6,7,1923,TA,602,1502,165000
1014,RM,7200,5,4,1910,TA,1022,1022,85000
1015,RL,11664,6,5,1948,TA,1082,1082,119200
1016,RL,8400,8,6,2001,Gd,810,1665,227000
1017,RL,11883,7,5,1996,Gd,1504,1504,203000
1018,RL,5814,8,5,1984,Gd,1220,1360,187500
1019,RL,10784,7,5,1991,Gd,384,1472,160000
1020,RL,3013,7,5,2005,Gd,1362,1506,213490
1021,RL,7024,4,5,2005,TA,1132,1132,176000
1022,RL,7406,7,5,2006,Gd,1199,1220,194000
1023,RM,9439,5,5,1930,TA,912,1248,87000
1024,RL,3182,7,5,2005,Gd,1346,1504,191000
1025,RL,15498,8,6,1976,Gd,1565,2898,287000
1026,RL,7700,5,5,1972,TA,882,882,112500
1027,RL,9300,5,5,1960,TA,1268,1264,167500
1028,RL,9520,8,5,2007,Gd,1638,1646,293077
1029,RL,9492,5,5,1941,TA,768,1376,105000
1030,RM,1680,6,7,1972,TA,672,1218,118000
1031,RH,7082,5,8,1916,TA,686,1928,160000
1032,RL,15863,7,3,1920,TA,824,3082,197000
1033,RL,14541,8,7,1993,Gd,1338,2520,310000
1034,RL,8125,7,5,2002,Gd,1654,1654,230000
1035,RL,6305,5,7,1938,TA,920,954,119750
1036,RL,11500,4,3,1957,TA,0,845,84000
1037,RL,12898,9,5,2007,Gd,1620,1620,315500
1038,RL,9240,8,5,2001,Gd,1055,2263,287000
